_id,code,departments,name,programs
607c7f47d8f88a43045435b3,CICSMA,,Centro Interdisciplinario de Ciencias de la Salud  Unidad Milpa Alta,"[{""$oid"":""{""$oid"":""605970a018f10c2e74b7bdd8""},{""$oid"":""605970a018f10c2e74b7bdd8""},{""$oid"":""605970a018f10c2e74b7bddc""},{""$oid"":""605970a018f10c2e74b7bdde""},{""$oid"":""605970a018f10c2e74b7bddf""},{""$oid"":""605970a018f10c2e74b7bde1""}""}""}]"
607c7f47d8f88a43045435b4,CICSST,,Centro Interdisciplinario de Ciencias de la Salud  Unidad Santo Tomás,"[{""$oid"":""605970a018f10c2e74b7bdd9""},{""$oid"":""605970a018f10c2e74b7bdda""},{""$oid"":""605970a018f10c2e74b7bdde""}""}]"
607c7f47d8f88a43045435b5,ENBA ,,Escuela Nacional de Biblioteconomía y Archivonomía,"[{""$oid"":""605970a018f10c2e74b7bde7""},{""$oid"":""605970a018f10c2e74b7bde8""}""}]"
607c7f47d8f88a43045435b6,ENCB ,,Escuela Nacional De Ciencias Biológicas,"[{""$oid"":""605970a018f10c2e74b7bdaf""},{""$oid"":""605970a018f10c2e74b7bdbe""},{""$oid"":""605970a018f10c2e74b7bddb""},{""$oid"":""605970a018f10c2e74b7bde2""},{""$oid"":""605970a018f10c2e74b7bde3""}""}]"
607c7f47d8f88a43045435b7,ENMyH ,,Escuela Nacional de Medicina y Homeopatía,"[{""$oid"":""605970a018f10c2e74b7bde0""},{""$oid"":""605970a018f10c2e74b7bde1""}""}]"
607c7f47d8f88a43045435b8,ESCAST,,Escuela Superior de Comercio y Administración Unidad Santo Tomás,"[{""$oid"":""605970a018f10c2e74b7bde4""},{""$oid"":""605970a018f10c2e74b7bde6""},{""$oid"":""605970a018f10c2e74b7bdf3""},{""$oid"":""605970a018f10c2e74b7bdea""},{""$oid"":""605970a018f10c2e74b7bdeb""},{""$oid"":""605970a018f10c2e74b7bdec""}""}]"
607c7f47d8f88a43045435b9,ESCAUT,,Escuela Superior de Comercio y Administración Unidad Tepepan,"[{""$oid"":""605970a018f10c2e74b7bde4""},{""$oid"":""605970a018f10c2e74b7bdeb""},{""$oid"":""605970a018f10c2e74b7bdec""}""}]"
607c7f47d8f88a43045435ba,ESCOM ,,Escuela Superior de Cómputo ,"[{""$oid"":""605970a018f10c2e74b7bdb9""},{""$oid"":""605970a018f10c2e74b7bdc0""},{""$oid"":""605aa41d7dfacb3c9d4299e7""}""}]"
607c7f47d8f88a43045435bb,ESE ,,Escuela Superior de Economía,"[{""$oid"":""605970a018f10c2e74b7bde9""}""}]"
607c7f47d8f88a43045435bc,ESEO ,,Escuela Superior de Enfermería y Obstetricia,"[{""$oid"":""605970a018f10c2e74b7bddc""},{""$oid"":""605970a018f10c2e74b7bddd""}""}]"
607c7f47d8f88a43045435bd,ESFM ,,Escuela Superior de Física y Matemáticas ,"[{""$oid"":""605970a018f10c2e74b7bdc9""},{""$oid"":""605970a018f10c2e74b7bdd6""},{""$oid"":""605970a018f10c2e74b7bdd7""}""}]"
607c7f47d8f88a43045435be,ESIMEC,,Escuela Superior de Ingeniería Mecánica y Eléctrica  Unidad Culhuacán,"[{""$oid"":""605970a018f10c2e74b7bdb4""},{""$oid"":""605970a018f10c2e74b7bdb5""},{""$oid"":""605970a018f10c2e74b7bdca""},{""$oid"":""605aa41d7dfacb3c9d4299e7""}""}]"
