Registro,Boleta,,,,,,,,,,,
2020-10-15  17:05:27,607c8fa9d8f88a43045438f6,,,,,,,,,,,
2020-10-15  17:05:42,607c8fa9d8f88a4304543641,,,,,,,,,,,
2020-10-15  17:05:47,607c8fa9d8f88a4304543805,,,,,,,,,,,
2020-10-15  17:06:32,607c8fa9d8f88a4304543897,,,,,,,,,,,
2020-10-15  17:06:54,607c8fa9d8f88a43045438dd,,,,,,,,,,,
2020-10-15  17:07:39,607c8fa9d8f88a4304543917,,,,,,,,,,,
2020-10-15  17:07:46,607c8fa9d8f88a4304543920,,,,,,,,,,,
2020-10-15  17:07:53,607c8fa9d8f88a430454389e,,,,,,,,,,,
2020-10-15  17:08:08,607c8fa9d8f88a43045436db,,,,,,,,,,,
2020-10-15  17:09:23,607c8fa9d8f88a4304543983,,,,,,,,,,,
2020-10-15  17:09:38,607c8fa9d8f88a4304543985,,,,,,,,,,,
2020-10-15  17:11:48,607c8fa9d8f88a4304543943,,,,,,,,,,,
2020-10-15  17:12:01,607c8fa9d8f88a430454389a,,,,,,,,,,,
2020-10-15  17:12:05,607c8fa9d8f88a4304543958,,,,,,,,,,,
2020-10-15  17:12:06,607c8fa9d8f88a43045438ca,,,,,,,,,,,
2020-10-15  17:12:13,607c8fa9d8f88a4304543951,,,,,,,,,,,
2020-10-15  17:12:17,607c8fa9d8f88a430454385c,,,,,,,,,,,
2020-10-15  17:12:22,607c8fa9d8f88a4304543822,,,,,,,,,,,
2020-10-15  17:12:28,607c8fa9d8f88a4304543960,,,,,,,,,,,
2020-10-15  17:12:30,607c8fa9d8f88a43045437b9,,,,,,,,,,,
2020-10-15  17:12:49,607c8fa9d8f88a4304543759,,,,,,,,,,,
2020-10-15  17:12:57,607c8fa9d8f88a43045437a5,,,,,,,,,,,
2020-10-15  17:12:58,607c8fa9d8f88a430454385f,,,,,,,,,,,
2020-10-15  17:13:32,607c8fa9d8f88a4304543850,,,,,,,,,,,
2020-10-15  17:13:37,607c8fa9d8f88a430454397b,,,,,,,,,,,
2020-10-15  17:13:38,607c8fa9d8f88a430454387c,,,,,,,,,,,
2020-10-15  17:13:42,607c8fa9d8f88a430454386d,,,,,,,,,,,
2020-10-15  17:13:55,607c8fa9d8f88a4304543755,,,,,,,,,,,
2020-10-15  17:13:57,607c8fa9d8f88a43045436b1,,,,,,,,,,,
2020-10-15  17:15:02,607c8fa9d8f88a4304543916,,,,,,,,,,,
2020-10-15  17:15:03,607c8fa9d8f88a4304543848,,,,,,,,,,,
2020-10-15  17:15:05,607c8fa9d8f88a430454393d,,,,,,,,,,,
2020-10-15  17:15:19,607c8fa9d8f88a4304543959,,,,,,,,,,,
2020-10-15  17:15:37,607c8fa9d8f88a43045438c2,,,,,,,,,,,
2020-10-15  17:16:12,607c8fa9d8f88a43045437cb,,,,,,,,,,,
2020-10-15  17:16:39,607c8fa9d8f88a4304543834,,,,,,,,,,,
2020-10-15  17:16:54,607c8fa9d8f88a43045437b7,,,,,,,,,,,
2020-10-15  17:18:02,607c8fa9d8f88a4304543954,,,,,,,,,,,
2020-10-15  17:18:05,607c8fa9d8f88a43045438d4,,,,,,,,,,,
2020-10-15  17:18:28,607c8fa9d8f88a4304543914,,,,,,,,,,,
2020-10-15  17:19:27,607c8fa9d8f88a4304543864,,,,,,,,,,,
2020-10-15  17:20:12,607c8fa9d8f88a43045436c1,,,,,,,,,,,
2020-10-15  17:20:27,607c8fa9d8f88a4304543787,,,,,,,,,,,
2020-10-15  17:20:58,607c8fa9d8f88a4304543782,,,,,,,,,,,
2020-10-15  17:21:19,607c8fa9d8f88a4304543968,,,,,,,,,,,
2020-10-15  17:21:22,607c8fa9d8f88a4304543981,,,,,,,,,,,
2020-10-15  17:22:58,607c8fa9d8f88a43045437a0,,,,,,,,,,,
2020-10-15  17:23:20,607c8fa9d8f88a4304543949,,,,,,,,,,,
2020-10-15  17:24:12,607c8fa9d8f88a43045437f2,,,,,,,,,,,
2020-10-15  17:25:19,607c8fa9d8f88a43045438e3,,,,,,,,,,,
2020-10-15  17:25:43,607c8fa9d8f88a4304543969,,,,,,,,,,,
2020-10-15  17:25:54,607c8fa9d8f88a4304543912,,,,,,,,,,,
2020-10-15  17:32:17,607c8fa9d8f88a430454397f,,,,,,,,,,,
2020-10-15  17:35:07,607c8fa9d8f88a43045436e3,,,,,,,,,,,
2020-10-15  17:48:39,607c8fa9d8f88a430454386a,,,,,,,,,,,
2020-10-15  17:54:36,607c8fa9d8f88a4304543853,,,,,,,,,,,
2020-10-15  18:02:58,607c8fa9d8f88a43045438be,,,,,,,,,,,
2020-10-15  18:10:10,607c8fa9d8f88a4304543837,,,,,,,,,,,
2020-10-15  18:13:45,607c8fa9d8f88a4304543835,,,,,,,,,,,
2020-10-15  18:18:09,607c8fa9d8f88a43045436c9,,,,,,,,,,,
2020-10-15  18:18:13,607c8fa9d8f88a430454397c,,,,,,,,,,,
2020-10-15  18:21:05,607c8fa9d8f88a430454383e,,,,,,,,,,,
2020-10-15  18:24:37,607c8fa9d8f88a43045437ce,,,,,,,,,,,
2020-10-16  7:35:20,607c8fa9d8f88a4304543981,,,,,,,,,,,
2020-10-16  12:33:01,607c8fa9d8f88a43045437cb,,,,,,,,,,,
2020-10-16  14:04:05,607c8fa9d8f88a430454385c,,,,,,,,,,,
2020-10-16  15:58:35,607c8fa9d8f88a4304543981,,,,,,,,,,,
2020-10-17  10:40:22,607c8fa9d8f88a4304543853,,,,,,,,,,,
2020-10-17  10:40:24,607c8fa9d8f88a4304543853,,,,,,,,,,,
2020-10-23  14:04:15,607c8fa9d8f88a43045437cb,,,,,,,,,,,
2020-10-26  9:43:13,607c8fa9d8f88a43045437cb,,,,,,,,,,,
2020-10-27  14:00:05,607c8fa9d8f88a43045437cb,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
10/15/2020 13:14:26,#N/D,,,,,,,,,,,
10/15/2020 16:09:28,#N/D,,,,,,,,,,,
10/15/2020 17:13:32,#N/D,,,,,,,,,,,
10/15/2020 18:01:59,#N/D,,,,,,,,,,,
